70.00000	0.05335	0.00992	0.18232	0.01389	-0.39621	0.01274	0.18313	0.01316
72.00000	0.05366	0.01075	0.18545	0.01326	-0.38398	0.01053	0.18732	0.01342
74.00000	0.05076	0.01151	0.19158	0.01396	-0.35809	0.01444	0.19279	0.01382
76.00000	0.04477	0.01095	0.19077	0.01331	-0.32928	0.01296	0.19241	0.01354
78.00000	0.03740	0.01100	0.18851	0.01264	-0.30390	0.01596	0.18903	0.01280
80.00000	0.03189	0.01106	0.18278	0.01390	-0.28882	0.01313	0.18518	0.01384
82.00000	0.02865	0.01111	0.18304	0.01252	-0.27790	0.01462	0.18399	0.01315
84.00000	0.02700	0.01028	0.19010	0.01327	-0.25297	0.01106	0.19027	0.01353
86.00000	0.02752	0.01057	0.19509	0.01281	-0.23344	0.01256	0.19589	0.01307
88.00000	0.02920	0.01029	0.20532	0.01273	-0.20552	0.01219	0.20685	0.01299
90.00000	0.03239	0.01060	0.21557	0.01398	-0.18963	0.00984	0.21614	0.01355
92.00000	0.03631	0.01075	0.22451	0.01572	-0.18419	0.01275	0.22563	0.01566
94.00000	0.04066	0.00984	0.23920	0.01359	-0.14618	0.01105	0.24006	0.01270
96.00000	0.03845	0.00990	0.24587	0.01318	-0.13247	0.00907	0.24581	0.01350
98.00000	0.03530	0.00971	0.24586	0.01315	-0.11545	0.01065	0.24767	0.01342
100.00000	0.02887	0.00998	0.24476	0.01327	-0.09993	0.00945	0.24550	0.01290
100.00000	0.03065	0.01008	0.24686	0.01279	-0.09347	0.01030	0.24685	0.01336
102.00000	0.02242	0.01074	0.24187	0.01435	-0.08345	0.02102	0.24218	0.01487
104.00000	0.01665	0.01123	0.23918	0.01575	-0.06074	0.01655	0.24024	0.01508
106.00000	0.01150	0.01067	0.23672	0.01434	-0.03684	0.01740	0.23678	0.01381
108.00000	0.00518	0.01131	0.23389	0.01357	-0.01634	0.01935	0.23414	0.01353
110.00000	-0.00343	0.01148	0.22734	0.01388	0.00148	0.01766	0.22742	0.01383
